id,url,coursename,price,priceunit,course_code,duration,start_date,end_date,slot_time,brandname,region
0,https://www.globalknowledge.com/us-en/course/181213/dcaui-implementing-automation-for-cisco-data-center-solutions-v12/,"DCAUI - Implementing Automation for Cisco Data Center Solutions v1.2
Implement Cisco Data Center automated solutions including programming concepts, orchestration, and automation tools.",3495.0,USD,GK# 100493,3 Days,"Sep 04 - 06, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
0,https://www.globalknowledge.com/us-en/course/181213/dcaui-implementing-automation-for-cisco-data-center-solutions-v12/,"DCAUI - Implementing Automation for Cisco Data Center Solutions v1.2
Implement Cisco Data Center automated solutions including programming concepts, orchestration, and automation tools.",3495.0,USD,GK# 100493,3 Days,"Sep 04 - 06, 2024",,8:30 AM - 4:30 PM EDT,Global Knowledge,USA
1,https://www.globalknowledge.com/us-en/course/91691/uccxd-deploying-cisco-unified-contact-center-express-v60/,"UCCXD - Deploying Cisco Unified Contact Center Express v6.0
Learn about the Cisco Unified Contact Center Express (Unified CCX) product and its associated client applications and scripting tools.",,USD,GK# 3966,,,,,Global Knowledge,USA
2,https://www.globalknowledge.com/us-en/course/156060/nso201-cisco-nso-essentials-for-programmers-and-network-architects-v42/,"NSO201 - Cisco NSO Essentials for Programmers and Network Architects v4.2
Be able to install Cisco Network Services Orchestrator (NSO) and use it to manage devices and create services based on YANG templates with XPath.",750.0,USD,GK# 5728,,,,,Global Knowledge,USA
3,https://www.globalknowledge.com/us-en/course/91092/icm-implementing-cisco-multicast-v30/,"ICM - Implementing Cisco Multicast v3.0
Exclusive -
Learn to design, implement, and troubleshoot IP multicast-enabled networks.",,USD,GK# 2099,,,,,Global Knowledge,USA
4,https://www.globalknowledge.com/us-en/course/91032/qos-implementing-cisco-quality-of-service-v30/,"QOS - Implementing Cisco Quality of Service v3.0
Learn how to design and implement efficient, optimal, and trouble-free multiservice networks.",,USD,GK# 2078,,,,,Global Knowledge,USA
5,https://www.globalknowledge.com/us-en/course/189486/incvdo-cisco-cybervision-deployment-and-operation/,"INCVDO-Cisco CyberVision Deployment and Operation
INCVDO, Cisco CyberVision Deployment and Operation, is a 3-day instructor-led course. Security is every enterprise’s top priority in today’s connected world and keeping enterprise architecture secure will protect business values and outcomes. Thus, a critical element to the success of any network is ensuring and maintaining security – it’s a need that is applicable to all networks and network devices, including those that power Cisco Internet of Things technologies and solutions",3395.0,USD,GK# 821404,3 Days,"Aug 07 - 09, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
5,https://www.globalknowledge.com/us-en/course/189486/incvdo-cisco-cybervision-deployment-and-operation/,"INCVDO-Cisco CyberVision Deployment and Operation
INCVDO, Cisco CyberVision Deployment and Operation, is a 3-day instructor-led course. Security is every enterprise’s top priority in today’s connected world and keeping enterprise architecture secure will protect business values and outcomes. Thus, a critical element to the success of any network is ensuring and maintaining security – it’s a need that is applicable to all networks and network devices, including those that power Cisco Internet of Things technologies and solutions",3395.0,USD,GK# 821404,3 Days,"Aug 07 - 09, 2024",,10:00 AM - 6:00 PM EST,Global Knowledge,USA
5,https://www.globalknowledge.com/us-en/course/189486/incvdo-cisco-cybervision-deployment-and-operation/,"INCVDO-Cisco CyberVision Deployment and Operation
INCVDO, Cisco CyberVision Deployment and Operation, is a 3-day instructor-led course. Security is every enterprise’s top priority in today’s connected world and keeping enterprise architecture secure will protect business values and outcomes. Thus, a critical element to the success of any network is ensuring and maintaining security – it’s a need that is applicable to all networks and network devices, including those that power Cisco Internet of Things technologies and solutions",3395.0,USD,GK# 821404,3 Days,"Nov 18 - 20, 2024",,ONLINE,Global Knowledge,USA
6,https://www.globalknowledge.com/us-en/course/172546/vwaas-cisco-virtual-wide-area-application-services-v10/,"VWAAS - Cisco Virtual Wide Area Application Services v1.0
Learn how to deploy, configure, operate, maintain and support a solution using Cisco Virtual Wide-Area Application Services (VWAAS) that provides performance optimization for application data over WAN.",1000.0,USD,GK# 9914,,,,,Global Knowledge,USA
