1,"AWS Technical Essentials
"
2,"Architecting on AWS
"
3,"Security Engineering on AWS
"
4,"DevOps Engineering on AWS
"
5,"AWS Certified Associate Exam Voucher
"
6,"Planning and Designing Databases on AWS
"
7,"Advanced Developing on AWS
"
8,"AWS Cloud Practitioner Essentials
"
9,"AWS Security Essentials
"
10,"AWS Cloud Financial Management for Builders
"
11,"Running Containers on Amazon Elastic Kubernetes Service (Amazon EKS)
"
12,"Migrating to AWS
"
13,"AWS Cloud Essentials for Business Leaders
"
14,"AWS Cloud Essentials for Business Leaders ? Financial Services
"
15,"Developing Serverless Solutions on AWS
"
16,"Certified Ethical Hacker (CEHv12)
"
17,"CHFI - Computer Hacking Forensic Investigator (EC-CHFI)
"
18,"Securing Email with Cisco Email Security Appliance v3.1
"
19,"Data Warehousing on AWS
"
20,"Advanced Architecting on AWS
"
21,"Planning & Designing Databases on AWS
"
22,"Cloud Operations on AWS
"
23,"Developing on AWS
"
24,"CCNP ENCOR Training
"
25,"ENARSI Implementing Cisco Enterprise Advanced Routing and Services Training
"
26,"Implementing and Operating Cisco Security Core Technologies (SCOR) Training
"
27,"Implementing Cisco Advanced Call Control and Mobility Services (CLACCM) v1.0
"
28,"Understanding Cisco Cybersecurity Operations Fundamentals Training (CBROPS)
"
29,"CCNP Data Center Certification Training (DCFNDU v1.0)
"
30,"Cisco Collaboration Training (CLFNDU v1.1)
"
31,"CCNA Certification Training
"
32,"Configuring Cisco Unified Computing System (DCCUCS v1.0) Training
"
33,"CompTIA Linux+® Certification Training
"
34,"CompTIA Cloud+® Certification Training
"
35,"CompTIA Data+® Certification Training
"
36,"CompTIA Security+® Training
"
37,"CompTIA DataSys+ Certification Training
"
38,"CompTIA Network+® Training
"
39,"CompTIA CASP+® Training
"
40,"CompTIA CySA+® Certification Training
"
41,"CompTIA PenTest+® Training
"
42,"CompTIA A+® Certification Training
"
43,"Certified Ethical Hacker (CEH) Training
"
44,"Certified Network Defender (CND) v3 Certification Training
"
45,"EC-Council Certified Cybersecurity Technician (C|CT)
"
46,"CHFI Certification - Computer Hacking Forensic Investigator Training CHFI v11
"
47,"EC-Council Certified Threat Intelligence Analyst (C|TIA) v2
"
48,"EC-Council Certified Incident Handler (ECIH) Training ECIH v2
"
49,"EC-Council Certified CISO Training CCISO v3
"
50,"Developing on AWS plus Jam
Learn how to use the AWS SDK to develop secure and scalable cloud applications using multiple AWS services."
51,"AWS Cloud Essentials for Business Leaders
Get introduced to cloud concepts and advantages.
GK# 821433
Vendor# AWS Cloud Ess for BL"
52,"Migrating to AWS
Learn how to plan and migrate existing workloads to the AWS Cloud."
